Frame	Tempo (s)	Emoção
1216	40.53	happy
1217	40.57	fear
1218	40.60	happy
1219	40.63	happy
1220	40.67	happy
1221	40.70	happy
1222	40.73	happy
1223	40.77	happy
1224	40.80	happy
1225	40.83	happy
1226	40.87	happy
1227	40.90	sad
1228	40.93	sad
1229	40.97	sad
1230	41.00	sad
1231	41.03	sad
1232	41.07	sad
1233	41.10	happy
1234	41.13	sad
1235	41.17	sad
1236	41.20	sad
1237	41.23	sad
1238	41.27	sad
1239	41.30	happy
1240	41.33	happy
1241	41.37	happy
1242	41.40	happy
1243	41.43	happy
1244	41.47	sad
1245	41.50	sad
1246	41.53	sad
1247	41.57	sad
1248	41.60	sad
1249	41.63	sad
1250	41.67	sad
1251	41.70	sad
1252	41.73	sad
1253	41.77	sad
1254	41.80	sad
1255	41.83	sad
1256	41.87	sad
1257	41.90	sad
1258	41.93	sad
1259	41.97	sad
1260	42.00	neutral
1261	42.03	neutral
1262	42.07	neutral
1263	42.10	neutral
1264	42.13	neutral
1265	42.17	neutral
1266	42.20	neutral
1267	42.23	neutral
1268	42.27	neutral
1269	42.30	neutral
1270	42.33	neutral
1271	42.37	neutral
1272	42.40	neutral
1273	42.43	neutral
1274	42.47	neutral
1275	42.50	neutral
1276	42.53	neutral
1277	42.57	neutral
1278	42.60	neutral
1279	42.63	neutral
1280	42.67	neutral
1281	42.70	neutral
1282	42.73	neutral
1283	42.77	neutral
1284	42.80	neutral
1285	42.83	neutral
1286	42.87	neutral
1287	42.90	neutral
1288	42.93	neutral
1289	42.97	neutral
1290	43.00	neutral
1291	43.03	neutral
1292	43.07	neutral
1293	43.10	angry
1294	43.13	angry
1295	43.17	angry
1296	43.20	angry
1297	43.23	neutral
1298	43.27	angry
1299	43.30	angry
1300	43.33	neutral
1301	43.37	neutral
1302	43.40	neutral
1303	43.43	angry
1304	43.47	sad
1305	43.50	fear
1306	43.53	sad
1307	43.57	fear
1308	43.60	sad
1309	43.63	sad
1310	43.67	sad
1311	43.70	fear
1312	43.73	neutral
1313	43.77	sad
1314	43.80	sad
1315	43.83	sad
1316	43.87	fear
1317	43.90	fear
1318	43.93	fear
1319	43.97	sad
1320	44.00	fear
1321	44.03	fear
1322	44.07	happy
1323	44.10	neutral
1324	44.13	neutral
1325	44.17	neutral
1326	44.20	sad
1327	44.23	sad
1328	44.27	neutral
1329	44.30	happy
1330	44.33	neutral
1331	44.37	neutral
1332	44.40	fear
1333	44.43	neutral
1334	44.47	fear
1335	44.50	fear
1336	44.53	happy
1337	44.57	sad
1338	44.60	neutral
1339	44.63	neutral
1340	44.67	fear
1341	44.70	fear
1342	44.73	happy
1343	44.77	neutral
1344	44.80	neutral
1345	44.83	neutral
1346	44.87	neutral
1347	44.90	sad
1348	44.93	neutral
1349	44.97	neutral
1350	45.00	neutral
1351	45.03	neutral
1352	45.07	neutral
1353	45.10	neutral
1354	45.13	sad
1355	45.17	sad
1356	45.20	sad
1357	45.23	sad
1358	45.27	sad
1359	45.30	angry
1360	45.33	fear
1361	45.37	sad
1362	45.40	sad
1363	45.43	neutral
1364	45.47	neutral
1365	45.50	neutral
1366	45.53	neutral
1367	45.57	neutral
1368	45.60	neutral
1369	45.63	sad
1370	45.67	sad
1371	45.70	sad
1372	45.73	sad
1373	45.77	sad
1374	45.80	sad
1375	45.83	sad
1376	45.87	neutral
1377	45.90	sad
1378	45.93	sad
1379	45.97	neutral
1380	46.00	sad
1381	46.03	sad
1382	46.07	neutral
1383	46.10	sad
1384	46.13	sad
1385	46.17	sad
1386	46.20	sad
1387	46.23	sad
1388	46.27	sad
1389	46.30	neutral
1390	46.33	neutral
1391	46.37	neutral
1392	46.40	neutral
1393	46.43	neutral
1394	46.47	neutral
1395	46.50	neutral
1396	46.53	neutral
1397	46.57	neutral
1398	46.60	neutral
1399	46.63	neutral
1400	46.67	neutral
1401	46.70	neutral
1402	46.73	neutral
1403	46.77	neutral
1404	46.80	neutral
1405	46.83	neutral
1406	46.87	fear
1407	46.90	sad
1408	46.93	fear
